שם הצעת החוק,מדרג,מספר חוק,ניקוד,קישור להצעת החוק,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק לתיקון דיני הרשויות המקומיות (ביטול סמכות שר הפנים לעניין חוקי עזר בדבר פתיחתם וסגירתם של עסקים בימי מנוחה), התשפ'א-2021",dup_laws_bot,פ\24\1,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156054,"חוק שמבטל את סמכותו של שר הפנים לסגור עסקים בשבת. ראה חוק
פ/13/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081208",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון - הרחבת הזכאות להליכי נשיאת עוברים), התשפ'א-2021",,פ\24\2,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156056,,,0,0,יעל רון בן משה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק זכויות הסטודנט (תיקון - ביטול ארגון סטודנטים יציג), התשפ'א-2021",,פ\24\3,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156085,,,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק הגנה על ישראלים מפני מוסדות בין-לאומיים עוינים, התשפ'א-2021",,פ\24\4,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156096,,,0,0,אביגדור ליברמן,עודד פורר,יבגני סובה,אלי אבידר,יוליה מלינובסקי,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק התכנון והבנייה (תיקון - חדרי הנקה בבניינים ציבוריים), התשפ'א-2021",dup_laws_bot,פ\24\5,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156480,"לחייב הקצאת חדרי הנקה ייעודיים במקומות ציבוריים (ההגדרה של מקום ציבוריים כוללת הרבה מקומות בבעלות פרטית). פגיעה בזכות הקניין, הטלת עלות יקרה על בעלי עסקים. ראה חוק
פ/167/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081611",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הצעת חוק-יסוד: הכנסת (תיקון - הרחבת עילות הפסילה בגין הסתה לגזענות כנגד האוכלוסייה החרדית),dmorell.lawoffice@gmail.com,פ/6/24,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156062,"החוק מרחיב את עילות הפסילה מהתמודדות לכנסת גם למי ש'מסית נגד האוכלוסיה החרדית'.

מדובר בחוק אנטי ליברלי שפוגע בזכות להיבחר בשל עילה אמורפית שאינה כוללת פגיעה בעיקרון אי התוקפנות. החוק משפיע על כלל הציבור שהרי מדובר בבחירות לכנסת.",,0,0,יצחק פינדרוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק חיזוק מעמד חברי המועצה (תיקוני חקיקה), התשפ'א-2021",,פ\24\7,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156497,,,0,0,שלמה קרעי,משה אבוטבול,מיכאל מלכיאלי,אילת שקד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק לתיקון פקודת הסמים המסוכנים (הוספת חומר קנבוס כחומר בעל תועלת רפואית), התשפ'א-2021",,פ\24\8,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156115,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק יום לציון אירועי הפרהוד, התשפ'א-2021",,פ\24\9,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156165,,,0,0,אופיר כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק סדר הדין הפלילי (סמכויות אכיפה – מעצרים) (תיקון–הגדרת מסוכנות של פוגעים בבעלי חיים), התשפ'א-2021",,פ\24\10,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156643,,,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק להנצחת הרב עובדיה יוסף (ציון זכרו ופועלו), התשפ'א-2021",,פ\24\11,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156166,,,0,0,מיכאל מלכיאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק עסקאות למכירת נשק או ציוד צבאי של מדינה זרה, התשפ'א-2021",,פ\24\12,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156168,,,0,0,אביגדור ליברמן,עודד פורר,יבגני סובה,אלי אבידר,יוליה מלינובסקי,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק לתיקון פקודת בריאות העם (העדפות מתן רשיון למכשור רפואי בפריפריה), התשפ'א-2021",,פ\24\13,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156170,,,0,0,אופיר כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק העונשין (תיקון - החמרת ענישה בגין תקיפת סתם), התשפ'א-2021",,פ\24\14,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156113,,,0,0,אופיר כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק הפעלת תחבורה ציבורית ביום המנוחה השבועי, התשפ'א-2021",,פ\24\15,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156132,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק בתי המשפט (תיקון - תקופת צינון לפני מינוי), התשפ'א-2021",,פ\24\16,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156528,,,0,0,שלמה קרעי,אורית סטרוק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק לתיקון פקודות הדיג (איכון ספינות דיג), התשפ'א-2021",dup_laws_bot,פ\24\17,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156203,"ראה חוק
פ/581/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081909",,0,0,מיקי לוי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
